"AltCountLineCode","CountInput","CountLineBlank","CountLineCodeDecl","CountLineComment","CountLinePreprocessor","CountPath","CountStmt","CountStmtEmpty","Cyclomatic","CyclomaticStrict","Knots","MinEssentialKnots","RatioCommentToCode","AltCountLineComment","CountLine","CountLineCode","CountLineCodeExe","CountLineInactive","CountOutput","CountSemicolon","CountStmtDecl","CountStmtExe","CyclomaticModified","Essential","MaxEssentialKnots","MaxNesting","Affected","Fold"
13,8,2,3,0,0,4,11,0,4,4,1,0,0,0,15,13,7,0,1,8,2,9,4,1,0,2,"NEUTRAL",1
47,13,12,12,5,0,35,36,0,9,10,6,6,0.11,5,64,47,31,0,8,28,6,30,9,7,6,1,"VULNERABLE",1
67,11,11,11,5,0,226,53,0,12,12,15,15,0.07,5,82,67,51,0,11,42,7,46,12,8,15,3,"NEUTRAL",1
13,3,1,4,0,0,3,10,0,3,3,3,3,0,0,14,13,5,0,5,8,3,7,3,3,3,2,"NEUTRAL",1
14,2,1,1,2,0,1,11,0,1,1,0,0,0.14,2,17,14,11,0,11,11,0,11,1,1,0,0,"VULNERABLE",1
58,10,12,6,4,0,8,44,0,10,10,8,8,0.07,4,74,58,48,0,26,38,3,41,10,7,8,2,"NEUTRAL",1
87,16,14,7,42,0,718,63,0,25,33,82,82,0.48,42,143,87,74,0,20,37,4,59,22,22,82,3,"VULNERABLE",1
15,6,3,3,0,0,2,12,0,2,2,1,0,0,0,18,15,10,0,12,11,2,10,2,1,0,1,"NEUTRAL",1
72,9,3,2,1,0,84,68,0,9,9,3,0,0.01,1,76,72,62,0,46,60,1,67,9,1,0,3,"VULNERABLE",1
40,8,3,4,6,0,14,33,1,11,11,22,0,0.15,6,43,40,32,0,5,23,3,29,4,1,0,1,"NEUTRAL",1
23,7,4,2,1,0,6,17,0,6,6,1,0,0.04,1,28,23,18,0,8,11,0,17,3,1,0,1,"NEUTRAL",1
7,4,0,1,1,0,1,4,0,1,1,0,0,0.14,1,8,7,4,0,4,4,0,4,1,1,0,0,"VULNERABLE",1
10,2,0,1,0,4,1,1,0,1,1,0,0,0,0,10,4,1,2,2,1,0,1,1,1,0,0,"NEUTRAL",1
39,188,2,4,0,0,17,30,0,6,8,7,7,0,0,41,39,31,0,16,25,3,27,6,5,7,1,"VULNERABLE",1
12,3,4,3,0,0,3,7,0,3,4,2,2,0,0,16,12,7,0,3,5,1,6,3,3,2,1,"VULNERABLE",1
84,30,16,15,58,0,1050,71,1,23,24,14,9,0.69,58,155,84,67,0,15,50,11,59,20,9,11,3,"NEUTRAL",1
